# ratchet trend (fm-mol): one row per bless, keyed by franken_markdown rev
# rev	rules	hash	uniq_total	occ_total	parse_uniq	parse_occ	layout_uniq	layout_occ
5310d87a9db39e7e7c0ad7decacd883ab8c0b12a	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9201	17636	9101	17519
4e5066c62818dfce75ccd940a7a54f600e1fe6a8	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9201	17636	9169	17601
76fcbd264d67e319d406bccd103792d0528cad83	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9250	17690	9218	17655
5db49f54f0cfea1eb4e4f949849fc74a5c807fc4	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9259	17701	9227	17666
4743f78d3e57c8b220bba0122b7c3dd069761c90	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9262	17704	9230	17669
b30516ea95228a70a657cec72ccc606fd07a347c	1	a8325e49e0ce78fcc735533952740e9adeaaa5cb10f9c13d73aaa3ba4bf883fc	9269	17711	9265	17707	9233	17672
